PeakID (cmd=annotatePeaks.pl AkaaF3Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Ctrl_REP1.mLb.clN_peak_16195	chrX	23253168	23253781	+	5516	NA	Intergenic	Intergenic	9192	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16196	chrX	23262186	23262645	+	3360	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	251	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16080	chrX	22433014	22433195	+	3052	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16194	chrX	23239608	23240643	+	2518	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	407	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16220	chrX	23430873	23432228	+	2420	NA	Intergenic	Intergenic	139850	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16228	chrX	23534961	23535797	+	2140	NA	Intergenic	Intergenic	243679	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16185	chrX	23212056	23213063	+	1803	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1330	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16201	chrX	23282424	23284157	+	1735	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-359	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16224	chrX	23472221	23473471	+	1597	NA	Intergenic	Intergenic	181146	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16187	chrX	23215738	23217181	+	1476	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2007	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16204	chrX	23326672	23327772	+	1398	NA	Intergenic	Intergenic	35522	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16221	chrX	23432798	23433733	+	1284	NA	Intergenic	Intergenic	141565	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16197	chrX	23270847	23271740	+	1193	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-135	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16183	chrX	23205266	23206524	+	1100	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	73	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16199	chrX	23278009	23280464	+	841	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	774	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16202	chrX	23291028	23292001	+	807	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-35	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16186	chrX	23214881	23214993	+	766	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	485	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16077	chrX	22382699	22383857	+	740	NA	Intergenic	Intergenic	-60949	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16074	chrX	22354404	22354747	+	649	NA	Intergenic	Intergenic	-89652	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16222	chrX	23438851	23442071	+	649	NA	Intergenic	Intergenic	148761	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16191	chrX	23228417	23228786	+	637	NA	Intergenic	Intergenic	-11117	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16229	chrX	23537066	23538371	+	614	NA	Intergenic	Intergenic	246018	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_13098	chr4	1288242	1289095	+	582	NA	Intergenic	Intergenic	57831	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_9208	chr3L	24629520	24629727	+	504	NA	Intergenic	Intergenic	76513	FBgn0085810	FBgn0085810	FBtr0114264						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_10943	chr3R	16242339	16242874	+	496	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-210	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_5292	chr2R	20111078	20111594	+	490	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-175	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_1051	chr2L	8717967	8718397	+	467	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12610	FBgn0032061	FBgn0032061	FBtr0339543						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_13859	chrX	4426739	4427154	+	466	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13484	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_7662	chr3L	11553042	11553663	+	456	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8644	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_1497	chr2L	13060082	13060628	+	455	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-215	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_9259	chr3L	27126142	27127519	+	441	NA	Intergenic	Intergenic	-8354	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_9922	chr3R	7474541	7475333	+	436	NA	promoter-TSS (FBgn0065099)	-promoter-TSS (FBgn0065099)	59	FBgn0065099	FBgn0065099	FBtr0091929						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_14157	chrX	6868066	6868560	+	436	NA	promoter-TSS (FBgn0263993)	-promoter-TSS (FBgn0263993)	86	FBgn0263993	FBgn0263993	FBtr0330267						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_4187	chr2R	13015581	13016208	+	431	NA	Intergenic	Intergenic	19393	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_2868	chr2R	6120394	6121250	+	430	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11019	FBgn0000546	FBgn0000546	FBtr0086008						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_14504	chrX	9515548	9515751	+	428	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4125	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_9225	chr3L	25133908	25134211	+	425	NA	Intergenic	Intergenic	13310	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_3938	chr2R	11603167	11603734	+	425	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1486	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_5062	chr2R	18652767	18653186	+	417	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-200	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_7307	chr3L	8725063	8725882	+	410	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	302	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_7954	chr3L	14427169	14427672	+	405	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2919	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_2534	chr2R	870291	870591	+	405	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16216	chrX	23406970	23407579	+	402	NA	Intergenic	Intergenic	115574	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_7834	chr3L	13228399	13228988	+	400	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	1	FBgn0023095	FBgn0023095	FBtr0346864						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_9289	chr3R	27448	27849	+	398	NA	Intergenic	Intergenic	-539428	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_10997	chr3R	16763810	16764350	+	396	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12746	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_12780	chr3R	31713220	31714050	+	396	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4360	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_1097	chr2L	9176051	9176934	+	387	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9714	FBgn0041092	FBgn0041092	FBtr0304974						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_11372	chr3R	19836712	19837087	+	382	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-82	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF3Ctrl_REP1.mLb.clN_peak_16001	chrX	21280939	21281942	+	381	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-287	FBgn0052521	FBgn0052521	FBtr0310654						NA
