PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP1.mLb.clN_peak_13650	chrX	23253178	23253782	+	3419	NA	Intergenic	Intergenic	9186	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP1.mLb.clN_peak_13492	chrX	22433013	22433195	+	2200	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP1.mLb.clN_peak_13659	chrX	23327299	23327714	+	1967	NA	Intergenic	Intergenic	35806	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13651	chrX	23262230	23262643	+	1851	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	230	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP1.mLb.clN_peak_13678	chrX	23430872	23432197	+	1347	NA	Intergenic	Intergenic	139834	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13649	chrX	23239616	23240602	+	1111	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	391	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP1.mLb.clN_peak_13641	chrX	23212128	23213061	+	1110	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1295	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Heat_REP1.mLb.clN_peak_13687	chrX	23534952	23535761	+	1031	NA	Intergenic	Intergenic	243656	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13482	chrX	21939346	21939683	+	1000	NA	Intergenic	Intergenic	-203544	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF3Heat_REP1.mLb.clN_peak_13657	chrX	23282428	23284157	+	945	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-361	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Heat_REP1.mLb.clN_peak_13479	chrX	21796817	21797151	+	884	NA	Intergenic	Intergenic	163548	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF3Heat_REP1.mLb.clN_peak_13682	chrX	23472335	23473470	+	851	NA	Intergenic	Intergenic	181202	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13679	chrX	23432803	23433725	+	845	NA	Intergenic	Intergenic	141564	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13652	chrX	23270876	23271407	+	708	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	17	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Heat_REP1.mLb.clN_peak_13643	chrX	23215749	23217171	+	694	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2008	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Heat_REP1.mLb.clN_peak_13638	chrX	23205281	23206524	+	574	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	80	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Heat_REP1.mLb.clN_peak_5921	chr3L	8725189	8725723	+	572	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	318	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF3Heat_REP1.mLb.clN_peak_13655	chrX	23278943	23280456	+	508	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	311	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Heat_REP1.mLb.clN_peak_13489	chrX	22382876	22383852	+	453	NA	Intergenic	Intergenic	-60863	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP1.mLb.clN_peak_13658	chrX	23291028	23292001	+	436	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-35	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF3Heat_REP1.mLb.clN_peak_13486	chrX	22354390	22354721	+	401	NA	Intergenic	Intergenic	-89672	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP1.mLb.clN_peak_12092	chrX	9515556	9515751	+	400	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4129	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF3Heat_REP1.mLb.clN_peak_7850	chr3R	4852376	4852788	+	386	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-231	FBgn0003002	FBgn0003002	FBtr0479794						NA
AkaaF3Heat_REP1.mLb.clN_peak_2317	chr2R	870290	870591	+	375	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF3Heat_REP1.mLb.clN_peak_13680	chrX	23438862	23442045	+	358	NA	Intergenic	Intergenic	148753	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13642	chrX	23214876	23214993	+	350	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	482	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Heat_REP1.mLb.clN_peak_12377	chrX	12437288	12437911	+	346	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3885	FBgn0287828	FBgn0287828	FBtr0340086						NA
AkaaF3Heat_REP1.mLb.clN_peak_13688	chrX	23537604	23538358	+	338	NA	Intergenic	Intergenic	246281	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13685	chrX	23525955	23526692	+	324	NA	Intergenic	Intergenic	234623	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13646	chrX	23228429	23228786	+	293	NA	Intergenic	Intergenic	-11111	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP1.mLb.clN_peak_7687	chr3R	27448	27849	+	292	NA	Intergenic	Intergenic	-539428	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF3Heat_REP1.mLb.clN_peak_2622	chr2R	6480508	6481738	+	290	NA	Intergenic	Intergenic	20649	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF3Heat_REP1.mLb.clN_peak_13654	chrX	23278010	23278493	+	286	NA	exon (FBgn0267516, exon 1 of 1)	-exon (FBgn0267516, exon 1 of 1)	1759	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Heat_REP1.mLb.clN_peak_6334	chr3L	12609332	12609609	+	261	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-161	FBgn0015919	FBgn0015919	FBtr0075909						NA
AkaaF3Heat_REP1.mLb.clN_peak_4402	chr2R	20903515	20903814	+	258	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-250	FBgn0015524	FBgn0015524	FBtr0474157						NA
AkaaF3Heat_REP1.mLb.clN_peak_7665	chr3L	27126141	27127458	+	253	NA	Intergenic	Intergenic	-8385	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF3Heat_REP1.mLb.clN_peak_13578	chrX	22855124	22855555	+	253	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-145	FBgn0000719	FBgn0000719	FBtr0333181						NA
AkaaF3Heat_REP1.mLb.clN_peak_12024	chrX	8650826	8651540	+	237	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-502	FBgn0004102	FBgn0004102	FBtr0331738						NA
AkaaF3Heat_REP1.mLb.clN_peak_7623	chr3L	24629422	24629755	+	237	NA	Intergenic	Intergenic	76478	FBgn0085810	FBgn0085810	FBtr0114264						NA
AkaaF3Heat_REP1.mLb.clN_peak_13675	chrX	23413224	23413693	+	228	NA	Intergenic	Intergenic	121758	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_13671	chrX	23390014	23391071	+	219	NA	Intergenic	Intergenic	98842	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_7626	chr3L	24723751	24724136	+	215	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-219	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF3Heat_REP1.mLb.clN_peak_13640	chrX	23210955	23211186	+	213	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-122	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF3Heat_REP1.mLb.clN_peak_13656	chrX	23281148	23281365	+	209	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-979	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF3Heat_REP1.mLb.clN_peak_1232	chr2L	13060085	13060597	+	208	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-201	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF3Heat_REP1.mLb.clN_peak_13408	chrX	21281035	21282049	+	207	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-389	FBgn0052521	FBgn0052521	FBtr0310654						NA
AkaaF3Heat_REP1.mLb.clN_peak_13653	chrX	23273966	23274351	+	204	NA	Intergenic	Intergenic	-3000	FBgn0267520	FBgn0267520	FBtr0346903						NA
