PeakID (cmd=annotatePeaks.pl ManzF3Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Ctrl_REP3.mLb.clN_peak_22244	chrX	23253170	23253784	+	4488	NA	Intergenic	Intergenic	9189	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22245	chrX	23262189	23262649	+	4363	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	247	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22243	chrX	23239616	23240635	+	3538	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	407	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22253	chrX	23327299	23327779	+	3257	NA	Intergenic	Intergenic	35839	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22274	chrX	23534957	23535806	+	2735	NA	Intergenic	Intergenic	243681	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22128	chrX	21939328	21939685	+	2468	NA	Intergenic	Intergenic	-203552	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22234	chrX	23212056	23213071	+	2427	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1326	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22136	chrX	22433013	22433195	+	2392	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22270	chrX	23472331	23473471	+	2312	NA	Intergenic	Intergenic	181201	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22266	chrX	23430874	23432194	+	2065	NA	Intergenic	Intergenic	139834	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22127	chrX	21796823	21797153	+	1994	NA	Intergenic	Intergenic	163552	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Ctrl_REP3.mLb.clN_peak_22236	chrX	23215738	23217176	+	1760	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2005	FBgn0267519	FBgn0267519	FBtr0346895						NA
