PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP3.mLb.clN_peak_9259	chrX	23253173	23253776	+	3682	NA	Intergenic	Intergenic	9192	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP3.mLb.clN_peak_9145	chrX	21796822	21797153	+	2906	NA	Intergenic	Intergenic	163551	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Heat_REP3.mLb.clN_peak_9147	chrX	21939331	21939683	+	2882	NA	Intergenic	Intergenic	-203551	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Heat_REP3.mLb.clN_peak_9157	chrX	22433013	22433195	+	2856	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP3.mLb.clN_peak_9260	chrX	23262217	23262646	+	1897	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	235	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP3.mLb.clN_peak_9294	chrX	23430872	23432172	+	1754	NA	Intergenic	Intergenic	139822	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9258	chrX	23239610	23240622	+	1263	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	398	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP3.mLb.clN_peak_9266	chrX	23282458	23284157	+	1112	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-376	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF3Heat_REP3.mLb.clN_peak_9269	chrX	23326986	23327772	+	1097	NA	Intergenic	Intergenic	35679	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9249	chrX	23212124	23213059	+	1051	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1298	FBgn0267517	FBgn0267517	FBtr0346893						NA
