PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP1.mLb.clN_peak_12077	chrX	23253178	23253783	+	3488	NA	Intergenic	Intergenic	9186	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP1.mLb.clN_peak_11930	chrX	21939331	21939685	+	3162	NA	Intergenic	Intergenic	-203550	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Heat_REP1.mLb.clN_peak_11929	chrX	21796816	21797153	+	2805	NA	Intergenic	Intergenic	163548	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Heat_REP1.mLb.clN_peak_11939	chrX	22433013	22433195	+	2400	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP1.mLb.clN_peak_12078	chrX	23262192	23262645	+	1582	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	248	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP1.mLb.clN_peak_12110	chrX	23430873	23432194	+	1330	NA	Intergenic	Intergenic	139833	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_12076	chrX	23239608	23240634	+	1137	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	403	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP1.mLb.clN_peak_12083	chrX	23282460	23284156	+	977	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-377	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF3Heat_REP1.mLb.clN_peak_12067	chrX	23212123	23213061	+	945	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1297	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF3Heat_REP1.mLb.clN_peak_12121	chrX	23534916	23535769	+	885	NA	Intergenic	Intergenic	243642	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_12115	chrX	23472335	23473470	+	850	NA	Intergenic	Intergenic	181202	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_5266	chr3L	8725099	8725866	+	817	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	292	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF3Heat_REP1.mLb.clN_peak_12111	chrX	23432803	23433720	+	805	NA	Intergenic	Intergenic	141561	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_12087	chrX	23327299	23328252	+	746	NA	Intergenic	Intergenic	36075	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_12079	chrX	23270862	23271371	+	695	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	42	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP1.mLb.clN_peak_12069	chrX	23215738	23217175	+	692	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2004	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP1.mLb.clN_peak_12065	chrX	23205275	23206523	+	659	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	77	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF3Heat_REP1.mLb.clN_peak_1939	chr2R	870290	870591	+	505	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF3Heat_REP1.mLb.clN_peak_12122	chrX	23537604	23538257	+	449	NA	Intergenic	Intergenic	246230	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_10679	chrX	9515550	9515751	+	436	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4126	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF3Heat_REP1.mLb.clN_peak_12081	chrX	23278010	23280458	+	435	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	776	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Heat_REP1.mLb.clN_peak_12084	chrX	23291083	23292001	+	412	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-7	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF3Heat_REP1.mLb.clN_peak_11937	chrX	22382963	22383853	+	404	NA	Intergenic	Intergenic	-60819	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP1.mLb.clN_peak_12113	chrX	23440836	23442072	+	386	NA	Intergenic	Intergenic	149754	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_10927	chrX	12437322	12437919	+	362	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3864	FBgn0287828	FBgn0287828	FBtr0340086						NA
ManzF3Heat_REP1.mLb.clN_peak_12112	chrX	23438864	23440093	+	359	NA	Intergenic	Intergenic	147778	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_12068	chrX	23214879	23214993	+	349	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	484	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP1.mLb.clN_peak_6746	chr3L	24629520	24629757	+	345	NA	Intergenic	Intergenic	76528	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF3Heat_REP1.mLb.clN_peak_3844	chr2R	20903581	20903797	+	334	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-275	FBgn0015524	FBgn0015524	FBtr0474157						NA
ManzF3Heat_REP1.mLb.clN_peak_11934	chrX	22354408	22354698	+	307	NA	Intergenic	Intergenic	-89674	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP1.mLb.clN_peak_12015	chrX	22854976	22855540	+	303	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-64	FBgn0000719	FBgn0000719	FBtr0333181						NA
ManzF3Heat_REP1.mLb.clN_peak_6785	chr3L	27126182	27127527	+	292	NA	Intergenic	Intergenic	-8330	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF3Heat_REP1.mLb.clN_peak_6953	chr3R	4852365	4852791	+	269	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-235	FBgn0003002	FBgn0003002	FBtr0479794						NA
ManzF3Heat_REP1.mLb.clN_peak_6749	chr3L	24723765	24724204	+	269	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-178	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP1.mLb.clN_peak_12073	chrX	23228429	23228784	+	263	NA	Intergenic	Intergenic	-11112	FBgn0085771	FBgn0085771	FBtr0346896						NA
