PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP2.mLb.clN_peak_16973	chrX	23253156	23253786	+	5641	NA	Intergenic	Intergenic	9195	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16974	chrX	23262166	23262645	+	5167	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	261	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16972	chrX	23239608	23240649	+	4343	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	410	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_17007	chrX	23534957	23535801	+	3454	NA	Intergenic	Intergenic	243679	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16997	chrX	23430877	23432228	+	3307	NA	Intergenic	Intergenic	139852	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16965	chrX	23212053	23213094	+	2497	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1316	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_17001	chrX	23472175	23473471	+	2332	NA	Intergenic	Intergenic	181123	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16967	chrX	23215738	23217202	+	2239	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2018	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16979	chrX	23282416	23284155	+	2115	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-354	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16998	chrX	23432746	23433743	+	1922	NA	Intergenic	Intergenic	141544	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16975	chrX	23270847	23271556	+	1728	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-43	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16963	chrX	23205195	23206524	+	1608	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	37	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16880	chrX	22433014	22433195	+	1452	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16871	chrX	21939344	21939681	+	1355	NA	Intergenic	Intergenic	-203546	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13904	chr4	1288242	1289093	+	1264	NA	Intergenic	Intergenic	57830	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16980	chrX	23291071	23292001	+	1205	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-13	FBgn0267523	FBgn0267523	FBtr0346897						NA
