PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP1.mLb.clN_peak_15848	chrX	23262158	23262649	+	6235	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	263	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15847	chrX	23253152	23253786	+	6049	NA	Intergenic	Intergenic	9197	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15846	chrX	23239540	23240654	+	5490	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	379	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15874	chrX	23535048	23535825	+	4303	NA	Intergenic	Intergenic	243736	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15866	chrX	23430881	23433743	+	3227	NA	Intergenic	Intergenic	140612	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15869	chrX	23472173	23473472	+	3082	NA	Intergenic	Intergenic	181122	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15839	chrX	23211991	23213094	+	3063	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1347	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15841	chrX	23215736	23217204	+	2840	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2018	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15853	chrX	23282387	23284153	+	2393	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-339	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15837	chrX	23205188	23206524	+	2167	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	34	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15757	chrX	21939346	21939683	+	2159	NA	Intergenic	Intergenic	-203544	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15854	chrX	23291071	23292006	+	1930	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15855	chrX	23327301	23327724	+	1875	NA	Intergenic	Intergenic	35812	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15849	chrX	23270816	23271599	+	1845	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-49	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15875	chrX	23537051	23538428	+	1425	NA	Intergenic	Intergenic	246039	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15766	chrX	22433014	22433194	+	1240	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15851	chrX	23278010	23280480	+	1217	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	765	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8986	chr3L	27126139	27127611	+	1212	NA	Intergenic	Intergenic	-8309	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15867	chrX	23438810	23442083	+	1177	NA	Intergenic	Intergenic	148746	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15755	chrX	21796865	21797153	+	1137	NA	Intergenic	Intergenic	163573	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15838	chrX	23210944	23211280	+	741	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-80	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15764	chrX	22382948	22383885	+	673	NA	Intergenic	Intergenic	-60811	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15843	chrX	23227045	23228784	+	654	NA	Intergenic	Intergenic	-11804	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12814	chr4	1288237	1289093	+	650	NA	Intergenic	Intergenic	57828	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15840	chrX	23214293	23215011	+	623	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	200	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2824	chr2R	6480492	6481739	+	603	NA	Intergenic	Intergenic	20657	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15852	chrX	23281018	23281366	+	593	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-915	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6Ctrl_REP1.mLb.clN_peak_6063	chr2R	25268738	25269507	+	549	NA	Intergenic	Intergenic	17195	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2437	chr2R	3140707	3141061	+	523	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74385	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15863	chrX	23406976	23407594	+	509	NA	Intergenic	Intergenic	115585	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_13741	chrX	5754557	5756108	+	479	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-242	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6Ctrl_REP1.mLb.clN_peak_7151	chr3L	8724950	8726632	+	466	NA	promoter-TSS (FBgn0000357)	-promoter-TSS (FBgn0000357)	-17	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6Ctrl_REP1.mLb.clN_peak_14080	chrX	8293988	8295994	+	444	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21185	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2365	chr2L	23332111	23332785	+	442	NA	Intergenic	Intergenic	-8256	FBgn0260435	FBgn0260435	FBtr0302459						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8938	chr3L	24737905	24739200	+	420	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14390	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12823	chrX	63381	63619	+	395	NA	Intergenic	Intergenic	-58993	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1466	chr2L	13060077	13060610	+	392	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-203	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12811	chr4	1278638	1279450	+	391	NA	Intergenic	Intergenic	48207	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2370	chr2R	870291	870588	+	383	NA	Intergenic	Intergenic	15625	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15061	chrX	16216610	16217817	+	382	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-467	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4280	chr2R	14006754	14007290	+	369	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2177	FBgn0002643	FBgn0002643	FBtr0087598						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2772	chr2R	6171265	6172011	+	363	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-49	FBgn0050316	FBgn0050316	FBtr0085986						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8951	chr3L	25133239	25134208	+	361	NA	Intergenic	Intergenic	12974	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6Ctrl_REP1.mLb.clN_peak_5262	chr2R	20111076	20111733	+	350	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-107	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6Ctrl_REP1.mLb.clN_peak_10636	chr3R	16242306	16242941	+	349	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-193	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15842	chrX	23221308	23223642	+	347	NA	Intergenic	Intergenic	8023	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP1.mLb.clN_peak_14240	chrX	9515561	9515749	+	333	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4131	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF6Ctrl_REP1.mLb.clN_peak_5043	chr2R	18652699	18653238	+	328	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-192	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF6Ctrl_REP1.mLb.clN_peak_7775	chr3L	14673672	14675317	+	322	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	150	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6Ctrl_REP1.mLb.clN_peak_11330	chr3R	22396283	22397821	+	320	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	-172	FBgn0051162	FBgn0051162	FBtr0084233						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12791	chr4	1198117	1199625	+	318	NA	promoter-TSS (FBgn0263112)	-promoter-TSS (FBgn0263112)	13	FBgn0263112	FBgn0263112	FBtr0307329						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1562	chr2L	14094697	14094903	+	314	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9290	FBgn0283651	FBgn0283651	FBtr0445730						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1705	chr2L	16525841	16526656	+	312	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2674	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6Ctrl_REP1.mLb.clN_peak_13574	chrX	4426713	4427162	+	305	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13475	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4104	chr2R	13014422	13016243	+	305	NA	Intergenic	Intergenic	18831	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1596	chr2L	14490161	14491119	+	304	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-219	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4100	chr2R	12996136	12997652	+	303	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	393	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP1.mLb.clN_peak_6513	chr3L	3059863	3061317	+	302	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5511	FBgn0035393	FBgn0035393	FBtr0072990						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8935	chr3L	24629518	24629714	+	301	NA	Intergenic	Intergenic	76506	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4105	chr2R	13034976	13035833	+	300	NA	Intergenic	Intergenic	11852	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15868	chrX	23455591	23456237	+	297	NA	Intergenic	Intergenic	164214	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_10638	chr3R	16249536	16250840	+	296	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7372	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP1.mLb.clN_peak_9044	chr3R	3138569	3139312	+	295	NA	intron (FBgn0267430, intron 8 of 20)	-intron (FBgn0267430, intron 8 of 20)	124642	FBgn0267430	FBgn0267430	FBtr0445191						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15595	chrX	20158918	20160132	+	294	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	347	FBgn0031090	FBgn0031090	FBtr0333549						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2039	chr2L	20416541	20417907	+	293	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	167	FBgn0032859	FBgn0032859	FBtr0346418						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15761	chrX	22354413	22354691	+	291	NA	Intergenic	Intergenic	-89675	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP1.mLb.clN_peak_10581	chr3R	15900983	15901686	+	289	NA	promoter-TSS (FBgn0027657)	-promoter-TSS (FBgn0027657)	3309	FBgn0027657	FBgn0027657	FBtr0344381						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2198	chr2L	21427941	21428272	+	288	NA	promoter-TSS (FBgn0053805)	-promoter-TSS (FBgn0053805)	563	FBgn0053908	FBgn0053908	FBtr0091912						NA
ManzF6Ctrl_REP1.mLb.clN_peak_6339	chr3L	1586374	1587148	+	286	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	67	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12642	chr4	670976	671584	+	285	NA	exon (FBgn0039920, exon 2 of 4)	-exon (FBgn0039920, exon 2 of 4)	138	FBgn0039920	FBgn0039920	FBtr0310539						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15865	chrX	23413220	23413727	+	283	NA	Intergenic	Intergenic	121773	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15860	chrX	23390046	23391037	+	281	NA	Intergenic	Intergenic	98841	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1073	chr2L	9176062	9176958	+	280	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9732	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8199	chr3L	18185582	18186496	+	279	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-398	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6Ctrl_REP1.mLb.clN_peak_6519	chr3L	3095621	3096702	+	277	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	170	FBgn0052289	FBgn0052289	FBtr0073019						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2169	chr2L	21236882	21238288	+	275	NA	promoter-TSS (FBgn0051626)	-promoter-TSS (FBgn0051626)	335	FBgn0261239	FBgn0261239	FBtr0081481						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2040	chr2L	20428776	20429554	+	273	NA	intron (FBgn0263355, intron 1 of 4)	-intron (FBgn0263355, intron 1 of 4)	140	FBgn0263355	FBgn0263355	FBtr0330204						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12820	chrX	52232	54939	+	272	NA	Intergenic	Intergenic	-68908	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6Ctrl_REP1.mLb.clN_peak_710	chr2L	6323659	6324635	+	272	NA	TTS (FBgn0053531)	-TTS (FBgn0053531)	380	FBgn0265778	FBgn0265778	FBtr0333242						NA
ManzF6Ctrl_REP1.mLb.clN_peak_5248	chr2R	20000033	20001154	+	270	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-225	FBgn0050212	FBgn0050212	FBtr0086326						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1136	chr2L	9781981	9783061	+	270	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3725	FBgn0032147	FBgn0032147	FBtr0307204						NA
