PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP2.mLb.clN_peak_16203	chrX	23253152	23253786	+	5122	NA	Intergenic	Intergenic	9197	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP2.mLb.clN_peak_16204	chrX	23262166	23262645	+	4964	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	261	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP2.mLb.clN_peak_16202	chrX	23239535	23240653	+	3823	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	376	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP2.mLb.clN_peak_16227	chrX	23535052	23535809	+	3159	NA	Intergenic	Intergenic	243730	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16195	chrX	23212060	23213081	+	2423	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1319	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF6HSan_REP2.mLb.clN_peak_16224	chrX	23472175	23473471	+	2357	NA	Intergenic	Intergenic	181123	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16221	chrX	23430915	23433741	+	2317	NA	Intergenic	Intergenic	140628	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16122	chrX	21939331	21939683	+	2077	NA	Intergenic	Intergenic	-203551	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6HSan_REP2.mLb.clN_peak_16197	chrX	23215738	23217202	+	2070	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2018	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP2.mLb.clN_peak_16205	chrX	23270820	23271514	+	1801	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-9	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6HSan_REP2.mLb.clN_peak_16209	chrX	23282382	23284154	+	1703	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-337	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF6HSan_REP2.mLb.clN_peak_16120	chrX	21796902	21797153	+	1615	NA	Intergenic	Intergenic	163591	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6HSan_REP2.mLb.clN_peak_16193	chrX	23205202	23206524	+	1611	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	41	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF6HSan_REP2.mLb.clN_peak_16212	chrX	23327303	23327725	+	1205	NA	Intergenic	Intergenic	35814	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16129	chrX	22433014	22433195	+	1132	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP2.mLb.clN_peak_7465	chr3L	8724750	8726505	+	993	NA	exon (FBgn0035923, exon 6 of 6)	-exon (FBgn0035923, exon 6 of 6)	147	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6HSan_REP2.mLb.clN_peak_9396	chr3L	27126142	27127603	+	981	NA	Intergenic	Intergenic	-8312	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6HSan_REP2.mLb.clN_peak_16210	chrX	23291076	23292001	+	899	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF6HSan_REP2.mLb.clN_peak_16228	chrX	23537061	23538433	+	856	NA	Intergenic	Intergenic	246047	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16207	chrX	23278010	23280482	+	846	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	764	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6HSan_REP2.mLb.clN_peak_16222	chrX	23438774	23442083	+	787	NA	Intergenic	Intergenic	148728	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_13045	chr4	1288242	1289093	+	783	NA	Intergenic	Intergenic	57830	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP2.mLb.clN_peak_6324	chr2R	25268745	25269517	+	530	NA	Intergenic	Intergenic	17204	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF6HSan_REP2.mLb.clN_peak_5490	chr2R	20111068	20111593	+	483	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-181	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6HSan_REP2.mLb.clN_peak_1535	chr2L	13060077	13060613	+	476	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-205	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6HSan_REP2.mLb.clN_peak_13971	chrX	5754735	5756297	+	470	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-58	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6HSan_REP2.mLb.clN_peak_10992	chr3R	16242306	16242914	+	466	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-206	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP2.mLb.clN_peak_2923	chr2R	6480497	6481812	+	463	NA	Intergenic	Intergenic	20618	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6HSan_REP2.mLb.clN_peak_16208	chrX	23281059	23281367	+	462	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-936	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6HSan_REP2.mLb.clN_peak_6613	chr3L	1586422	1587081	+	453	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	57	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6HSan_REP2.mLb.clN_peak_2472	chr2R	870291	870589	+	438	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6HSan_REP2.mLb.clN_peak_1788	chr2L	16525894	16526593	+	435	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2679	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6HSan_REP2.mLb.clN_peak_16127	chrX	22383020	22383852	+	433	NA	Intergenic	Intergenic	-60791	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP2.mLb.clN_peak_16199	chrX	23227039	23228782	+	414	NA	Intergenic	Intergenic	-11808	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP2.mLb.clN_peak_5298	chr2R	18652699	18653201	+	411	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-174	FBgn0034371	FBgn0034371	FBtr0086657						NA
