PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP3.mLb.clN_peak_17183	chrX	23253163	23253791	+	6402	NA	Intergenic	Intergenic	9189	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17184	chrX	23262159	23262649	+	5797	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	262	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17182	chrX	23239540	23240664	+	4883	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	384	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17212	chrX	23534957	23535822	+	3818	NA	Intergenic	Intergenic	243689	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17207	chrX	23472175	23473471	+	2963	NA	Intergenic	Intergenic	181123	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17204	chrX	23430878	23433735	+	2856	NA	Intergenic	Intergenic	140606	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17177	chrX	23215738	23217209	+	2677	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2021	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17175	chrX	23212005	23213078	+	2470	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1348	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17188	chrX	23282396	23284154	+	2048	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-344	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17173	chrX	23205190	23206524	+	1789	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	35	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17185	chrX	23270817	23271619	+	1620	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-60	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_13849	chr4	1288242	1289095	+	1418	NA	Intergenic	Intergenic	57831	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17189	chrX	23291081	23292001	+	1349	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-8	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17090	chrX	22433014	22433195	+	1180	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_9830	chr3L	27126141	27127605	+	1165	NA	Intergenic	Intergenic	-8311	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17213	chrX	23537051	23538418	+	1145	NA	Intergenic	Intergenic	246034	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17205	chrX	23438780	23442083	+	999	NA	Intergenic	Intergenic	148731	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17187	chrX	23278010	23281367	+	972	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	322	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17087	chrX	22382805	22383861	+	946	NA	Intergenic	Intergenic	-60894	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_7795	chr3L	8724980	8726628	+	675	NA	promoter-TSS (FBgn0000357)	-promoter-TSS (FBgn0000357)	-30	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_14839	chrX	5754660	5756058	+	660	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-215	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17081	chrX	21939534	21939679	+	652	NA	Intergenic	Intergenic	-203452	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_3125	chr2R	6480500	6481739	+	621	NA	Intergenic	Intergenic	20653	FBgn0267744	FBgn0267744	FBtr0347304						NA
