PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP2.mLb.clN_peak_19138	chrX	23262158	23262649	+	7234	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	263	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19137	chrX	23253148	23253803	+	6522	NA	Intergenic	Intergenic	9191	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19136	chrX	23239509	23240664	+	6016	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	368	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19167	chrX	23535040	23535825	+	4945	NA	Intergenic	Intergenic	243732	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19163	chrX	23472165	23473471	+	3761	NA	Intergenic	Intergenic	181118	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19160	chrX	23430877	23433741	+	3635	NA	Intergenic	Intergenic	140609	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19131	chrX	23215736	23217227	+	3317	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2029	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19129	chrX	23211989	23213094	+	3194	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1348	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19034	chrX	21939344	21939683	+	2737	NA	Intergenic	Intergenic	-203545	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19143	chrX	23282395	23284154	+	2657	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-343	FBgn0267521	FBgn0267521	FBtr0346900						NA
