PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP1.mLb.clN_peak_14009	chrX	23253161	23253789	+	5033	NA	Intergenic	Intergenic	9191	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP1.mLb.clN_peak_14010	chrX	23262153	23262649	+	4000	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	265	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP1.mLb.clN_peak_14008	chrX	23239608	23240653	+	3450	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	412	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP1.mLb.clN_peak_14038	chrX	23535048	23535809	+	2742	NA	Intergenic	Intergenic	243728	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_14031	chrX	23430881	23433733	+	2077	NA	Intergenic	Intergenic	140607	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_14034	chrX	23472175	23473471	+	2029	NA	Intergenic	Intergenic	181123	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_14001	chrX	23212053	23213076	+	1855	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1325	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6HSan_REP1.mLb.clN_peak_14003	chrX	23215738	23217219	+	1853	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2026	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP1.mLb.clN_peak_14014	chrX	23282412	23284153	+	1563	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-351	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6HSan_REP1.mLb.clN_peak_13999	chrX	23205269	23206524	+	1430	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	74	FBgn0267515	FBgn0267515	FBtr0346891						NA
