PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP3.mLb.clN_peak_21247	chrX	23262172	23262649	+	5856	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	256	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21246	chrX	23253150	23253801	+	5841	NA	Intergenic	Intergenic	9191	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21245	chrX	23239540	23240648	+	4792	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	376	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21286	chrX	23534926	23535807	+	3717	NA	Intergenic	Intergenic	243666	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21278	chrX	23430868	23433741	+	3123	NA	Intergenic	Intergenic	140604	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21235	chrX	23211989	23213090	+	2951	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	1347	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21281	chrX	23472169	23473472	+	2936	NA	Intergenic	Intergenic	181120	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21238	chrX	23215736	23217224	+	2635	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2028	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21252	chrX	23282386	23284155	+	2444	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-339	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21233	chrX	23205190	23206524	+	2012	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	35	FBgn0267515	FBgn0267515	FBtr0346891						NA
