PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP1.mLb.clN_peak_18421	chrX	23262166	23262649	+	6035	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	259	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP1.mLb.clN_peak_18420	chrX	23253150	23253806	+	5954	NA	Intergenic	Intergenic	9188	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP1.mLb.clN_peak_18419	chrX	23239608	23240664	+	5174	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	418	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP1.mLb.clN_peak_18454	chrX	23535041	23535809	+	4164	NA	Intergenic	Intergenic	243725	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_18449	chrX	23472218	23473471	+	3078	NA	Intergenic	Intergenic	181144	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_18446	chrX	23430881	23433737	+	3026	NA	Intergenic	Intergenic	140609	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_18412	chrX	23211989	23213089	+	2955	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	1347	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6HSan_REP1.mLb.clN_peak_18422	chrX	23270822	23271367	+	2872	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	64	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6HSan_REP1.mLb.clN_peak_18414	chrX	23215736	23217212	+	2712	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2022	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP1.mLb.clN_peak_18426	chrX	23282386	23284154	+	2249	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-339	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF6HSan_REP1.mLb.clN_peak_18335	chrX	21939348	21939683	+	1954	NA	Intergenic	Intergenic	-203543	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6HSan_REP1.mLb.clN_peak_18410	chrX	23205188	23206524	+	1949	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	34	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF6HSan_REP1.mLb.clN_peak_18333	chrX	21796899	21797153	+	1588	NA	Intergenic	Intergenic	163590	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6HSan_REP1.mLb.clN_peak_18429	chrX	23327299	23327771	+	1432	NA	Intergenic	Intergenic	35835	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_18342	chrX	22433014	22433195	+	1330	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP1.mLb.clN_peak_18427	chrX	23291076	23292001	+	1251	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF6HSan_REP1.mLb.clN_peak_10541	chr3L	27126142	27127527	+	1198	NA	Intergenic	Intergenic	-8350	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6HSan_REP1.mLb.clN_peak_18455	chrX	23537050	23538414	+	1197	NA	Intergenic	Intergenic	246032	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_18424	chrX	23278010	23280485	+	1154	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	763	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6HSan_REP1.mLb.clN_peak_18447	chrX	23438791	23442091	+	1093	NA	Intergenic	Intergenic	148741	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_14993	chr4	1288244	1289093	+	915	NA	Intergenic	Intergenic	57831	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP1.mLb.clN_peak_18340	chrX	22382916	22383866	+	722	NA	Intergenic	Intergenic	-60836	FBgn0031183	FBgn0031183	FBtr0339557						NA
