PeakID (cmd=annotatePeaks.pl AkaaF3Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Ctrl_REP3.mLb.clN_peak_17727	chrX	23253163	23253784	+	5757	NA	Intergenic	Intergenic	9193	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17728	chrX	23262188	23262649	+	4868	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	248	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17726	chrX	23239616	23240633	+	3920	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	406	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17622	chrX	22433013	22433195	+	3187	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17768	chrX	23534936	23535761	+	2913	NA	Intergenic	Intergenic	243648	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17760	chrX	23430872	23432210	+	2715	NA	Intergenic	Intergenic	139841	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17764	chrX	23472331	23473471	+	2520	NA	Intergenic	Intergenic	181201	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17715	chrX	23212056	23213061	+	2189	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1331	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17734	chrX	23282418	23284157	+	2048	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-356	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17718	chrX	23215738	23217173	+	1883	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2003	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17729	chrX	23270805	23271469	+	1687	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	21	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17737	chrX	23326992	23328247	+	1666	NA	Intergenic	Intergenic	35919	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17761	chrX	23432790	23433735	+	1634	NA	Intergenic	Intergenic	141562	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17713	chrX	23205217	23206526	+	1443	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	49	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17735	chrX	23291073	23292001	+	1164	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-12	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17732	chrX	23278928	23280473	+	1097	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	310	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17717	chrX	23214876	23215002	+	1060	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	487	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17613	chrX	21939349	21939683	+	1041	NA	Intergenic	Intergenic	-203542	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17769	chrX	23537579	23538332	+	928	NA	Intergenic	Intergenic	246255	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17762	chrX	23438855	23442083	+	919	NA	Intergenic	Intergenic	148769	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17731	chrX	23278008	23278506	+	827	NA	exon (FBgn0267516, exon 1 of 1)	-exon (FBgn0267516, exon 1 of 1)	1753	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17620	chrX	22382657	22383883	+	791	NA	Intergenic	Intergenic	-60957	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17723	chrX	23228386	23228784	+	738	NA	Intergenic	Intergenic	-11133	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_4514	chr2R	13015575	13016163	+	607	NA	Intergenic	Intergenic	19368	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_5834	chr2R	20111086	20111592	+	550	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-172	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17617	chrX	22354400	22354716	+	543	NA	Intergenic	Intergenic	-89669	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10115	chr3L	27126139	27127857	+	533	NA	Intergenic	Intergenic	-8186	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_3102	chr2R	6480492	6481817	+	532	NA	Intergenic	Intergenic	20618	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17714	chrX	23210953	23211260	+	513	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-86	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15892	chrX	9515550	9515751	+	503	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4126	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8411	chr3L	11553068	11553647	+	487	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8639	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8046	chr3L	8725130	8725729	+	483	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	345	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1566	chr2L	13060067	13060628	+	466	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-207	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10790	chr3R	7474557	7475335	+	465	NA	promoter-TSS (FBgn0065099)	-promoter-TSS (FBgn0065099)	50	FBgn0065099	FBgn0065099	FBtr0091929						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1088	chr2L	8717917	8718376	+	462	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12574	FBgn0032061	FBgn0032061	FBtr0339543						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11457	chr3R	12467792	12468163	+	448	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-201	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_4226	chr2R	11603195	11603742	+	444	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1468	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11933	chr3R	16242316	16242892	+	442	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-212	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10069	chr3L	24629441	24629744	+	432	NA	Intergenic	Intergenic	76482	FBgn0085810	FBgn0085810	FBtr0114264						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8724	chr3L	14427141	14427665	+	426	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2902	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10084	chr3L	25133902	25134158	+	426	NA	Intergenic	Intergenic	13281	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_2694	chr2R	870293	870589	+	421	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_16294	chrX	12437263	12437912	+	413	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3897	FBgn0287828	FBgn0287828	FBtr0340086						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15918	chrX	9693800	9694247	+	411	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-163	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17733	chrX	23281103	23281364	+	408	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-956	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_5564	chr2R	18652705	18653211	+	391	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-182	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17610	chrX	21796907	21797149	+	388	NA	Intergenic	Intergenic	163592	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15774	chrX	8624829	8625216	+	384	NA	Intergenic	Intergenic	-18718	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_12010	chr3R	16948625	16948856	+	377	NA	intron (FBgn0000015, intron 1 of 6)	-intron (FBgn0000015, intron 1 of 6)	-3167	FBgn0278597	FBgn0278597	FBtr0415462						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17039	chrX	17768033	17768636	+	374	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-235	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_14378	chr4	1288257	1289091	+	372	NA	Intergenic	Intergenic	57837	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15171	chrX	4426741	4427162	+	370	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13489	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_4712	chr2R	13925338	13926185	+	367	NA	promoter-TSS (FBgn0013733)	-promoter-TSS (FBgn0013733)	-14815	FBgn0013733	FBgn0013733	FBtr0304850						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_6479	chr2R	23580168	23581096	+	366	NA	promoter-TSS (FBgn0015903)	-promoter-TSS (FBgn0015903)	-15960	FBgn0015903	FBgn0015903	FBtr0332926						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_7792	chr3L	6903912	6904466	+	366	NA	Intergenic	Intergenic	9775	FBgn0041194	FBgn0041194	FBtr0076945						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_16827	chrX	16216555	16217822	+	366	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-442	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_7367	chr3L	3626029	3626413	+	360	NA	promoter-TSS (FBgn0263239)	-promoter-TSS (FBgn0263239)	-131	FBgn0263239	FBgn0263239	FBtr0113134						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10319	chr3R	4852356	4853195	+	358	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-38	FBgn0003002	FBgn0003002	FBtr0479794						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11995	chr3R	16702723	16703218	+	356	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31456	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_967	chr2L	7984082	7984406	+	354	NA	promoter-TSS (FBgn0085450)	-promoter-TSS (FBgn0085450)	-1039	FBgn0031968	FBgn0031968	FBtr0306336						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15510	chrX	6868053	6868986	+	354	NA	promoter-TSS (FBgn0263993)	-promoter-TSS (FBgn0263993)	292	FBgn0263993	FBgn0263993	FBtr0330267						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1739	chr2L	14490166	14491053	+	353	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-250	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8758	chr3L	14673877	14674833	+	340	NA	promoter-TSS (FBgn0011928)	-promoter-TSS (FBgn0011928)	11	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_2760	chr2R	3140722	3141045	+	338	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74384	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_2609	chr2L	22024331	22024821	+	337	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5368	FBgn0053987	FBgn0053987	FBtr0100032						NA
