PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP3.mLb.clN_peak_13968	chrX	23253170	23253782	+	3260	NA	Intergenic	Intergenic	9190	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP3.mLb.clN_peak_13813	chrX	22433013	22433195	+	2214	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP3.mLb.clN_peak_13969	chrX	23262209	23262643	+	1532	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	240	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP3.mLb.clN_peak_13998	chrX	23430877	23432199	+	1229	NA	Intergenic	Intergenic	139838	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_13967	chrX	23239608	23240618	+	959	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	395	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP3.mLb.clN_peak_13959	chrX	23212128	23213061	+	888	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1295	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Heat_REP3.mLb.clN_peak_13974	chrX	23282443	23284157	+	796	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-369	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Heat_REP3.mLb.clN_peak_14002	chrX	23472333	23473466	+	719	NA	Intergenic	Intergenic	181199	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_14007	chrX	23534914	23535754	+	681	NA	Intergenic	Intergenic	243634	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_13976	chrX	23327299	23328976	+	680	NA	Intergenic	Intergenic	36437	FBgn0267524	FBgn0267524	FBtr0346898						NA
