PeakID (cmd=annotatePeaks.pl AkaaF3Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Ctrl_REP2.mLb.clN_peak_18092	chrX	23253168	23253781	+	5666	NA	Intergenic	Intergenic	9192	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18093	chrX	23262191	23262649	+	3544	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	246	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_17980	chrX	22433013	22433195	+	2945	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18091	chrX	23239608	23240629	+	2685	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	400	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18117	chrX	23430870	23432230	+	2420	NA	Intergenic	Intergenic	139850	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18126	chrX	23534964	23535776	+	2366	NA	Intergenic	Intergenic	243670	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18083	chrX	23212123	23213068	+	2066	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1294	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18121	chrX	23472331	23473471	+	1853	NA	Intergenic	Intergenic	181201	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18098	chrX	23282424	23284157	+	1770	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-359	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18094	chrX	23270854	23271382	+	1660	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	40	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18085	chrX	23215738	23217188	+	1505	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2011	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18118	chrX	23432792	23433738	+	1422	NA	Intergenic	Intergenic	141565	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18081	chrX	23205273	23206526	+	1234	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	77	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18084	chrX	23214876	23215002	+	922	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	487	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Ctrl_REP2.mLb.clN_peak_18101	chrX	23326866	23329003	+	915	NA	Intergenic	Intergenic	36234	FBgn0267524	FBgn0267524	FBtr0346898						NA
