PeakID (cmd=annotatePeaks.pl ManzF3Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Ctrl_REP2.mLb.clN_peak_21873	chrX	23253175	23253782	+	4782	NA	Intergenic	Intergenic	9188	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21874	chrX	23262186	23262645	+	4492	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	251	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21872	chrX	23239626	23240638	+	3512	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	414	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21905	chrX	23534957	23535761	+	2794	NA	Intergenic	Intergenic	243659	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21768	chrX	21939328	21939685	+	2659	NA	Intergenic	Intergenic	-203552	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21767	chrX	21796865	21797155	+	2654	NA	Intergenic	Intergenic	163574	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21864	chrX	23212060	23213061	+	2589	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1329	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21901	chrX	23472331	23473471	+	2438	NA	Intergenic	Intergenic	181201	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21898	chrX	23432777	23433746	+	2082	NA	Intergenic	Intergenic	141561	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21875	chrX	23270857	23271379	+	2045	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	40	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21778	chrX	22433014	22433195	+	2014	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21865	chrX	23215738	23217181	+	1956	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2007	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21897	chrX	23430873	23432222	+	1952	NA	Intergenic	Intergenic	139847	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21880	chrX	23282411	23284156	+	1651	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-352	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21862	chrX	23205271	23206524	+	1539	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	75	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21883	chrX	23326886	23328252	+	1339	NA	Intergenic	Intergenic	35869	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21878	chrX	23278933	23280458	+	1099	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	315	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21877	chrX	23278008	23278509	+	933	NA	exon (FBgn0267516, exon 1 of 1)	-exon (FBgn0267516, exon 1 of 1)	1752	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Ctrl_REP2.mLb.clN_peak_3335	chr2R	870288	870591	+	842	NA	Intergenic	Intergenic	15625	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21881	chrX	23291029	23292001	+	794	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-34	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21869	chrX	23228399	23228796	+	783	NA	Intergenic	Intergenic	-11121	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21899	chrX	23438846	23442072	+	744	NA	Intergenic	Intergenic	148759	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP2.mLb.clN_peak_14673	chr3R	16242354	16242868	+	669	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-205	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF3Ctrl_REP2.mLb.clN_peak_21879	chrX	23281103	23281365	+	567	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-957	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF3Ctrl_REP2.mLb.clN_peak_10303	chr3L	11553072	11553650	+	551	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8635	FBgn0036173	FBgn0036173	FBtr0333215						NA
