PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP2.mLb.clN_peak_16475	chrX	23253149	23253798	+	6174	NA	Intergenic	Intergenic	9193	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP2.mLb.clN_peak_16476	chrX	23262159	23262649	+	5952	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	262	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP2.mLb.clN_peak_16474	chrX	23239533	23240664	+	5059	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	380	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP2.mLb.clN_peak_16502	chrX	23535048	23535825	+	4135	NA	Intergenic	Intergenic	243736	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_16496	chrX	23472156	23473471	+	3103	NA	Intergenic	Intergenic	181113	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_16493	chrX	23430875	23433733	+	3022	NA	Intergenic	Intergenic	140604	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_16469	chrX	23215738	23217192	+	2854	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2013	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP2.mLb.clN_peak_16467	chrX	23211989	23213105	+	2579	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1342	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6HSan_REP2.mLb.clN_peak_16481	chrX	23282400	23284152	+	2249	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-345	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6HSan_REP2.mLb.clN_peak_16465	chrX	23205190	23206524	+	2026	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	35	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF6HSan_REP2.mLb.clN_peak_16477	chrX	23270807	23271624	+	1759	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-57	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6HSan_REP2.mLb.clN_peak_16503	chrX	23537064	23538419	+	1450	NA	Intergenic	Intergenic	246041	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_16482	chrX	23291029	23292006	+	1441	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-32	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF6HSan_REP2.mLb.clN_peak_16403	chrX	22433014	22433195	+	1293	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP2.mLb.clN_peak_16479	chrX	23278010	23280482	+	1140	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	764	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6HSan_REP2.mLb.clN_peak_13180	chr4	1288208	1289093	+	1096	NA	Intergenic	Intergenic	57813	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP2.mLb.clN_peak_16494	chrX	23438780	23442085	+	1060	NA	Intergenic	Intergenic	148732	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_16394	chrX	21939356	21939680	+	1054	NA	Intergenic	Intergenic	-203540	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF6HSan_REP2.mLb.clN_peak_9350	chr3L	27126141	27127731	+	865	NA	Intergenic	Intergenic	-8248	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6HSan_REP2.mLb.clN_peak_16400	chrX	22382689	22383859	+	864	NA	Intergenic	Intergenic	-60953	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP2.mLb.clN_peak_16466	chrX	23210949	23211283	+	673	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-76	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6HSan_REP2.mLb.clN_peak_16468	chrX	23214277	23215003	+	565	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	188	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP2.mLb.clN_peak_16480	chrX	23281014	23281365	+	563	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-912	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF6HSan_REP2.mLb.clN_peak_14178	chrX	5754631	5756220	+	544	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-149	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6HSan_REP2.mLb.clN_peak_1465	chr2L	13060067	13060686	+	531	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-236	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6HSan_REP2.mLb.clN_peak_16397	chrX	22354408	22354714	+	507	NA	Intergenic	Intergenic	-89666	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP2.mLb.clN_peak_8024	chr3L	14673860	14674849	+	504	NA	promoter-TSS (FBgn0011928)	-promoter-TSS (FBgn0011928)	10	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6HSan_REP2.mLb.clN_peak_11100	chr3R	16242289	16242916	+	499	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-214	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP2.mLb.clN_peak_5283	chr2R	20111068	20111733	+	484	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-111	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6HSan_REP2.mLb.clN_peak_16471	chrX	23227017	23228784	+	480	NA	Intergenic	Intergenic	-11818	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP2.mLb.clN_peak_15636	chrX	16216691	16217945	+	480	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-572	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6HSan_REP2.mLb.clN_peak_13157	chr4	1198379	1199656	+	478	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	159	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6HSan_REP2.mLb.clN_peak_7354	chr3L	8724896	8726572	+	459	NA	promoter-TSS (FBgn0264696)	-promoter-TSS (FBgn0264696)	40	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6HSan_REP2.mLb.clN_peak_3907	chr2R	11603134	11603745	+	455	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1497	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6HSan_REP2.mLb.clN_peak_14520	chrX	8141351	8142357	+	444	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	425	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6HSan_REP2.mLb.clN_peak_7688	chr3L	11552939	11553696	+	441	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8679	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF6HSan_REP2.mLb.clN_peak_14147	chrX	5524184	5524844	+	436	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-49	FBgn0086667	FBgn0086667	FBtr0091788						NA
AkaaF6HSan_REP2.mLb.clN_peak_2587	chr2R	3140714	3141058	+	435	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74387	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF6HSan_REP2.mLb.clN_peak_4195	chr2R	13034933	13035780	+	435	NA	Intergenic	Intergenic	11900	FBgn0033788	FBgn0033788	FBtr0345360						NA
AkaaF6HSan_REP2.mLb.clN_peak_5056	chr2R	18652699	18653219	+	431	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-183	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6HSan_REP2.mLb.clN_peak_1991	chr2L	19157964	19159132	+	429	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	751	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6HSan_REP2.mLb.clN_peak_16391	chrX	21796904	21797148	+	429	NA	Intergenic	Intergenic	163590	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF6HSan_REP2.mLb.clN_peak_4187	chr2R	12996194	12997642	+	422	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	417	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6HSan_REP2.mLb.clN_peak_1620	chr2L	14490161	14491161	+	420	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-198	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF6HSan_REP2.mLb.clN_peak_13981	chrX	4426729	4427161	+	413	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13483	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6HSan_REP2.mLb.clN_peak_3317	chr2R	8326822	8327582	+	410	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-288	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6HSan_REP2.mLb.clN_peak_12789	chr3R	31688943	31690619	+	409	NA	promoter-TSS (FBgn0267125)	-promoter-TSS (FBgn0267125)	97	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF6HSan_REP2.mLb.clN_peak_7825	chr3L	12692902	12693755	+	405	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-311	FBgn0014343	FBgn0014343	FBtr0330077						NA
AkaaF6HSan_REP2.mLb.clN_peak_1682	chr2L	15263930	15264992	+	403	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	231	FBgn0045842	FBgn0045842	FBtr0415452						NA
AkaaF6HSan_REP2.mLb.clN_peak_7337	chr3L	8675053	8676089	+	402	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-188	FBgn0001168	FBgn0001168	FBtr0100153						NA
AkaaF6HSan_REP2.mLb.clN_peak_8010	chr3L	14550706	14551663	+	402	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-209	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6HSan_REP2.mLb.clN_peak_16205	chrX	19886879	19888002	+	400	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2620	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6HSan_REP2.mLb.clN_peak_15750	chrX	17076577	17078115	+	398	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	551	FBgn0030812	FBgn0030812	FBtr0330596						NA
AkaaF6HSan_REP2.mLb.clN_peak_1122	chr2L	9781981	9782949	+	396	NA	promoter-TSS (FBgn0032147)	-promoter-TSS (FBgn0032147)	-3781	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6HSan_REP2.mLb.clN_peak_9310	chr3L	25133242	25134221	+	392	NA	Intergenic	Intergenic	12982	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF6HSan_REP2.mLb.clN_peak_7995	chr3L	14427017	14427833	+	387	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2924	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6HSan_REP2.mLb.clN_peak_9098	chr3L	22406918	22408562	+	382	NA	promoter-TSS (FBgn0267624)	-promoter-TSS (FBgn0267624)	123	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF6HSan_REP2.mLb.clN_peak_14550	chrX	8293987	8295997	+	379	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21186	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF6HSan_REP2.mLb.clN_peak_8109	chr3L	15554009	15554730	+	378	NA	exon (FBgn0087035, exon 2 of 8)	-exon (FBgn0087035, exon 2 of 8)	-2454	FBgn0087035	FBgn0087035	FBtr0331933						NA
AkaaF6HSan_REP2.mLb.clN_peak_1749	chr2L	16525839	16526621	+	377	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2692	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6HSan_REP2.mLb.clN_peak_6598	chr3L	3059533	3061324	+	376	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5349	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6HSan_REP2.mLb.clN_peak_648	chr2L	5907014	5907933	+	375	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	304	FBgn0043362	FBgn0043362	FBtr0079144						NA
AkaaF6HSan_REP2.mLb.clN_peak_12793	chr3R	31712911	31714093	+	373	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4227	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF6HSan_REP2.mLb.clN_peak_14745	chrX	9693813	9694334	+	371	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-113	FBgn0000233	FBgn0000233	FBtr0071379						NA
