"ensembl_gene_id"	"TE_pres.x"	"RNAseq.log2FoldChange.x.x"	"atac.log2FoldChange.x.x"	"z.atac.x.x"	"Zdir.x"	"F3A_DE"	"F3A_DA"	"RNAseq.log2FoldChange.y.x"	"atac.log2FoldChange.y.x"	"z.atac.y.x"	"F6A_DE"	"TE_pres.y"	"RNAseq.log2FoldChange.x.y"	"atac.log2FoldChange.x.y"	"z.atac.x.y"	"Zdir.y"	"F3M_DE"	"F3M_DA"	"RNAseq.log2FoldChange.y.y"	"atac.log2FoldChange.y.y"	"z.atac.y.y"	"F6M_DE"
"1"	"FBgn0000008"	"0"	0.824072451053801	0.129531220699229	0.567510574137218	"RegUp"	"Shared"	"Not_DA"	-0.0447010156826702	-0.00417992922104153	0.00401046027228409	"Not_DE"	"0"	0.886895507868633	0.58231237328081	2.24421557907026	"RegUp"	"Shared"	"Unique"	0.0529777686223147	0.039890753041676	0.0589043147360383	"Not_DE"
"2"	"FBgn0000014"	"0"	-0.0791084657246657	0.278983623441628	-0.117337215001145	"MisRegExDn"	"Not_DE"	"Not_DA"	0.0908286334702762	0.0720942303677753	0.140550109943301	"Not_DE"	"0"	0.0187291833554745	0.378715456999231	0.0308225078298867	"RegUp"	"Not_DE"	"Unique"	-0.164557392129823	0.0482779238904081	-0.221435472280606	"Not_DE"
"3"	"FBgn0000015"	"D"	0.0949086698393869	0.00938030800727204	0.00473322434292049	"RegUp"	"Not_DE"	"Not_DA"	0.748352403889864	-0.0535030337420651	-0.85939429385126	"Not_DE"	"R"	-0.160380983754582	-0.120296598581272	0.0838382723221692	"RegDn"	"Not_DE"	"Not_DA"	-0.108557779159418	-0.0216118665312862	0.065393478234256	"Not_DE"
"4"	"FBgn0000017"	"0"	0.110568214938044	0.082718367718414	0.0486257550373115	"RegUp"	"Unique"	"Not_DA"	-0.138218133561897	0.0442322847061158	-0.131223705126611	"Not_DE"	"0"	0.313330005790832	-0.00826700799941001	-0.0112560611535575	"MisRegExUp"	"Not_DE"	"Not_DA"	0.130478840923782	0.157058934027467	0.571194407363596	"Not_DE"
"5"	"FBgn0000018"	"0"	0.185924046500141	-0.240657963947556	-0.23788655924935	"MisRegExUp"	"Not_DE"	"Not_DA"	0.0460721765076814	-0.0248336020577135	-0.0245576240447868	"Not_DE"	"0"	0.164146467391594	-0.5192892328867	-0.370405100152855	"MisRegExUp"	"Not_DE"	"Unique"	-0.122992268995323	0.0906026804253814	-0.310599012550847	"Not_DE"
"6"	"FBgn0000024"	"0"	-0.344236954072707	0.14421938419269	-0.263946088790788	"MisRegExDn"	"Not_DE"	"Not_DA"	0.217237064226961	-0.0554203391718147	-0.258411004275773	"Not_DE"	"D"	0.208668405339106	0.249508503737642	0.226244561465078	"RegUp"	"Not_DE"	"Not_DA"	-0.534181786147475	-0.101304143965673	1.50833392052017	"Not_DE"
"7"	"FBgn0000028"	"0"	0.790104529371585	0.153858902460339	0.64631060982423	"RegUp"	"Not_DE"	"Not_DA"	0.8943844398837	0.0299490235435936	0.574929776078341	"Not_DE"	"0"	-0.270506781482588	0.318182559741307	-0.374016384615394	"MisRegExDn"	"Not_DE"	"Not_DA"	-0.589605817879811	-0.0831236322943707	1.36605279336842	"Not_DE"
"8"	"FBgn0000032"	"0"	-0.0531708654521448	-0.094497333936274	0.0267132906210548	"RegDn"	"Not_DE"	"Not_DA"	0.0273091501899884	-0.0679114530438959	-0.0398069687820425	"Not_DE"	"0"	-0.0680160952299884	-0.362484566229021	0.107136465604995	"RegDn"	"Not_DE"	"Unique"	-0.0834469012144919	0.00175628683697752	-0.00408495118576951	"Not_DE"
"9"	"FBgn0000036"	"D"	0.0639634729339147	-0.0103015106273231	-0.00350321712096215	"MisRegExUp"	"Not_DE"	"Not_DA"	-0.925419925371721	-0.153247735751014	3.04397311362362	"Not_DE"	"D"	-0.160624842296321	-0.11736406266929	0.0819188691089436	"RegDn"	"Not_DE"	"Not_DA"	-0.234161891080612	-0.0579700371473534	0.378356331871149	"Not_DE"
"10"	"FBgn0000037"	"0"	-0.56210120070849	-0.0818174709563021	0.244508897702252	"RegDn"	"Not_DE"	"Not_DA"	-0.295524479553041	0.0277918214375104	-0.176286222395302	"Not_DE"	"D"	-0.849018151676887	-0.357116024659483	1.31753576521684	"RegDn"	"Not_DE"	"Unique"	0.533094105813926	-0.0578267880922248	-0.85923935883882	"Not_DE"
